stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
166140,99999,2010,09,29,61.4,5,57.2,5,1010.7,5,934.9,5,5.1,5,1.6,5,4.1,999.9,65.1,58.3,0.16,0.0,0,1,0,0,0,0
919540,99999,2010,12,15,76.2,8,71.0,8,1012.9,8,1012.6,8,8.1,4,7.7,8,14.0,999.9,79.7,72.0,0.59,0.0,0,1,0,0,0,0
535290,99999,2010,05,08,53.2,8,17.6,8,1009.0,8,857.3,4,15.5,8,10.0,8,17.5,999.9,70.0,34.5,0.0,0.0,0,0,0,0,0,0
723407,03953,2010,04,28,58.5,24,43.0,24,1014.8,24,1004.9,24,9.9,24,5.0,24,13.0,18.1,73.0,45.0,0.0,0.0,0,0,0,0,0,0
724210,93814,2010,03,29,45.0,24,41.6,24,1009.8,18,977.3,24,7.3,24,11.1,24,17.1,22.0,57.9,41.0,0.16,0.0,0,1,0,0,0,0
111440,99999,2010,04,26,53.2,16,45.2,16,1025.2,8,936.0,8,12.8,8,5.1,12,11.1,999.9,63.9,46.0,0.63,0.0,0,1,0,0,0,0
836490,99999,2010,06,11,71.1,24,64.9,24,1020.8,4,1020.3,4,7.3,24,6.8,24,20.0,999.9,80.6,62.6,0.0,0.0,0,0,0,0,0,0
727790,24146,2010,07,02,55.4,24,46.7,24,1008.7,22,905.5,24,9.4,24,4.0,24,12.0,18.1,69.1,48.2,0.0,0.0,0,1,0,0,0,0
128250,99999,2010,12,17,18.6,24,14.8,24,1007.2,4,989.7,4,3.8,21,8.0,24,15.5,999.9,23.5,12.2,0.0,0.0,0,0,1,0,0,0
726940,24232,2010,05,21,47.8,24,42.1,24,1015.9,19,1007.8,24,9.5,24,6.8,24,12.0,17.1,57.9,43.0,0.27,0.0,0,1,0,0,0,0
408270,99999,2010,11,07,56.8,8,29.3,8,1023.1,8,887.8,8,10.9,8,3.9,8,9.7,999.9,73.4,39.9,0.0,0.0,0,0,0,0,0,0
946470,99999,2010,09,20,54.3,16,45.8,16,1033.3,16,1021.0,16,14.8,4,7.2,16,9.9,999.9,61.0,50.5,0.0,0.0,0,0,0,0,0,0
387630,99999,2010,02,10,29.5,8,22.3,8,1025.1,8,1014.1,8,8.5,8,13.6,8,19.4,999.9,36.7,25.9,0.0,0.0,0,0,0,0,0,0
296760,99999,2010,07,21,65.8,8,58.6,8,1005.6,8,967.1,8,19.4,8,3.4,8,9.7,999.9,76.3,57.0,0.0,0.0,0,0,0,0,0,0
